Date,Prices
1-Oct-10,10013.00
4-Oct-10,10006.00
5-Oct-10,10014.00
6-Oct-10,10023.00
7-Oct-10,10026.00
8-Oct-10,9989.00
11-Oct-10,9984.00
12-Oct-10,9985.00
13-Oct-10,10002.00
14-Oct-10,10001.00
15-Oct-10,10010.00
18-Oct-10,10058.00
19-Oct-10,10123.00
20-Oct-10,10154.00
21-Oct-10,10159.00
22-Oct-10,10156.00
25-Oct-10,10138.00
26-Oct-10,10142.00
27-Oct-10,10123.00
28-Oct-10,10125.00
29-Oct-10,10134.00
1-Nov-10,10150.00
2-Nov-10,10155.00
3-Nov-10,10161.00
8-Nov-10,10159.00
9-Nov-10,10184.00
10-Nov-10,10389.00
11-Nov-10,10466.00
12-Nov-10,10503.00
23-Nov-10,10508.00
24-Nov-10,10697.00
25-Nov-10,10700.00
26-Nov-10,10690.00
29-Nov-10,10680.00
1-Dec-10,10696.00
2-Dec-10,10750.00
3-Dec-10,10742.00
6-Dec-10,10767.00
8-Dec-10,10767.00
9-Dec-10,10825.00
10-Dec-10,10845.00
13-Dec-10,10792.00
14-Dec-10,10946.00
15-Dec-10,10965.00
17-Dec-10,11040.00
20-Dec-10,11106.00
21-Dec-10,11216.00
22-Dec-10,11214.00
23-Dec-10,11216.00
27-Dec-10,11207.00
28-Dec-10,11316.00
29-Dec-10,11323.00
30-Dec-10,11360.00
3-Jan-11,11395.00
4-Jan-11,11386.00
5-Jan-11,11385.00
6-Jan-11,11344.00
7-Jan-11,11354.00
10-Jan-11,11368.00
11-Jan-11,11367.00
12-Jan-11,11369.00
13-Jan-11,11381.00
14-Jan-11,11378.00
17-Jan-11,11362.00
18-Jan-11,11385.00
19-Jan-11,11358.00
20-Jan-11,11360.00
21-Jan-11,11239.00
24-Jan-11,11285.00
25-Jan-11,11261.00
26-Jan-11,11233.00
27-Jan-11,11249.00
28-Jan-11,11245.00
31-Jan-11,11219.00
1-Feb-11,11210.00
2-Feb-11,11212.00
4-Feb-11,11174.00
7-Feb-11,11221.00
8-Feb-11,11237.00
9-Feb-11,11248.00
10-Feb-11,11248.00
11-Feb-11,11256.00
14-Feb-11,11235.00
16-Feb-11,11237.00
17-Feb-11,11267.00
18-Feb-11,11295.00
21-Feb-11,11355.00
22-Feb-11,11373.00
23-Feb-11,11373.00
24-Feb-11,11349.00
25-Feb-11,11405.00
28-Feb-11,11430.00
1-Mar-11,11318.00
2-Mar-11,11503.00
3-Mar-11,11523.00
4-Mar-11,11502.00
7-Mar-11,11472.00
8-Mar-11,11471.00
9-Mar-11,11415.00
10-Mar-11,11348.00
11-Mar-11,11290.00
14-Mar-11,11292.00
15-Mar-11,11310.00
18-Mar-11,11248.00
21-Mar-11,11169.00
22-Mar-11,11011.00
23-Mar-11,10975.00
24-Mar-11,10947.00
25-Mar-11,10904.00
28-Mar-11,10922.00
29-Mar-11,10930.00
30-Mar-11,10925.00
31-Mar-11,10971.00
1-Apr-11,10947.00
4-Apr-11,10999.00
5-Apr-11,10942.00
6-Apr-11,10946.00
7-Apr-11,10961.00
8-Apr-11,10887.00
11-Apr-11,10900.00
12-Apr-11,10880.00
13-Apr-11,10823.00
14-Apr-11,10795.00
15-Apr-11,10794.00
18-Apr-11,10768.00
19-Apr-11,10782.00
21-Apr-11,10797.00
25-Apr-11,10763.00
26-Apr-11,10741.00
27-Apr-11,10740.00
29-Apr-11,10774.00
2-May-11,10738.00
3-May-11,10737.00
4-May-11,10695.00
5-May-11,10698.00
6-May-11,10684.00
9-May-11,10676.00
10-May-11,10666.00
11-May-11,10779.00
12-May-11,10729.00
13-May-11,10726.00
18-May-11,10690.00
19-May-11,10676.00
20-May-11,10556.00
23-May-11,10512.00
24-May-11,10514.00
25-May-11,10589.00
26-May-11,10587.00
27-May-11,10592.00
30-May-11,10624.00
31-May-11,10637.00
1-Jun-11,10648.00
6-Jun-11,10651.00
7-Jun-11,10646.00
8-Jun-11,10649.00
9-Jun-11,10640.00
10-Jun-11,10638.00
13-Jun-11,10640.00
14-Jun-11,10631.00
15-Jun-11,10627.00
16-Jun-11,10626.00
17-Jun-11,10620.00
20-Jun-11,10620.00
21-Jun-11,10635.00
22-Jun-11,10611.00
23-Jun-11,10601.00
24-Jun-11,10596.00
27-Jun-11,10599.00
28-Jun-11,10591.00
30-Jun-11,10569.00
1-Jul-11,10574.00
4-Jul-11,10568.00
5-Jul-11,10524.00
6-Jul-11,10546.00
7-Jul-11,10538.00
8-Jul-11,10557.00
11-Jul-11,10553.00
12-Jul-11,10563.00
13-Jul-11,10560.00
14-Jul-11,10586.00
15-Jul-11,10589.00
18-Jul-11,10592.00
19-Jul-11,10577.00
20-Jul-11,10572.00
21-Jul-11,10569.00
22-Jul-11,10607.00
25-Jul-11,10608.00
26-Jul-11,10608.00
27-Jul-11,10639.00
28-Jul-11,10636.00
29-Jul-11,10625.00
1-Aug-11,10628.00
2-Aug-11,10617.00
3-Aug-11,10654.00
4-Aug-11,10656.00
5-Aug-11,10645.00
8-Aug-11,10635.00
9-Aug-11,10635.00
10-Aug-11,10647.00
11-Aug-11,10632.00
12-Aug-11,10607.00
15-Aug-11,10605.00
16-Aug-11,10666.00
18-Aug-11,10663.00
19-Aug-11,10672.00
22-Aug-11,10680.00
23-Aug-11,10680.00
24-Aug-11,10677.00
25-Aug-11,10677.00
26-Aug-11,10679.00
5-Sep-11,10712.00
6-Sep-11,10689.00
7-Sep-11,10708.00
8-Sep-11,10691.00
9-Sep-11,10698.00
12-Sep-11,10727.00
13-Sep-11,10729.00
14-Sep-11,10722.00
15-Sep-11,10723.00
16-Sep-11,10788.00
19-Sep-11,10778.00
20-Sep-11,10784.00
21-Sep-11,10766.00
22-Sep-11,10796.00
23-Sep-11,10796.00
26-Sep-11,10793.00
27-Sep-11,10788.00
28-Sep-11,10776.00
29-Sep-11,10777.00
30-Sep-11,10776.00
3-Oct-11,10773.00
4-Oct-11,10766.00
5-Oct-11,10750.00
6-Oct-11,10742.00
7-Oct-11,10724.00
10-Oct-11,10723.00
11-Oct-11,10714.00
12-Oct-11,10637.00
13-Oct-11,10636.00
14-Oct-11,10635.00
17-Oct-11,10574.00
18-Oct-11,10572.00
19-Oct-11,10555.00
20-Oct-11,10588.00
21-Oct-11,10599.00
24-Oct-11,10593.00
25-Oct-11,10599.00
26-Oct-11,10597.00
27-Oct-11,10521.00
28-Oct-11,10517.00
31-Oct-11,10426.00
1-Nov-11,10460.00
2-Nov-11,10531.00
3-Nov-11,10566.00
4-Nov-11,10566.00
7-Nov-11,10543.00
8-Nov-11,10571.00
9-Nov-11,10571.00
10-Nov-11,10570.00
11-Nov-11,10572.00
14-Nov-11,10542.00
15-Nov-11,10522.00
16-Nov-11,10522.00
17-Nov-11,10509.00
18-Nov-11,10527.00
21-Nov-11,10524.00
22-Nov-11,10536.00
23-Nov-11,10552.00
24-Nov-11,10554.00
25-Nov-11,10543.00
28-Nov-11,10544.00
29-Nov-11,10539.00
30-Nov-11,10561.00
1-Dec-11,10558.00
2-Dec-11,10556.00
5-Dec-11,10547.00
6-Dec-11,10549.00
7-Dec-11,10511.00
8-Dec-11,10515.00
9-Dec-11,10514.00
12-Dec-11,10511.00
13-Dec-11,10516.00
14-Dec-11,10552.00
15-Dec-11,10554.00
16-Dec-11,10553.00
19-Dec-11,10550.00
20-Dec-11,10553.00
21-Dec-11,10555.00
22-Dec-11,10551.00
23-Dec-11,10557.00
27-Dec-11,10602.00
28-Dec-11,10600.00
29-Dec-11,10703.00
30-Dec-11,10710.00
2-Jan-12,10734.00
3-Jan-12,10750.00
4-Jan-12,10831.00
5-Jan-12,10846.00
6-Jan-12,10953.00
